"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.53,34.26,37.35,40.61,44.94,49.13,53.58,60.11,74.25,83.47,90.83,110.77,126.13,141.46,150.85,156.77,167.08,190.89,220.01,237.54,264.15,..,..
Colombia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.17,34.38,30.20,26.85,40.15,56.98,65.12,89.25,115.64,106.98,125.30,132.07,161.84,174.80,173.63,136.68,132.70,143.43,146.80,150.87,130.49,..,..
Comoros,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.06,38.05,40.32,48.44,53.49,53.72,54.37,59.56,64.21,61.05,58.21,54.77,53.84,57.42,57.52,48.13,47.36,50.20,53.03,51.63,58.43,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.54,4.74,3.60,4.77,6.43,6.80,8.12,8.48,8.85,6.87,5.63,5.42,6.30,7.28,8.64,8.43,8.79,8.92,8.89,9.01,9.87,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.47,9.62,10.76,13.58,15.81,16.65,18.18,21.44,25.14,25.44,23.88,25.06,22.05,23.10,24.18,20.50,28.28,28.65,28.22,28.95,37.04,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.13,84.68,90.47,95.67,97.92,111.01,121.62,142.74,163.72,152.39,179.73,220.25,227.15,236.57,238.27,238.86,232.03,225.71,249.01,251.26,267.41,..,..
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.10,45.70,47.75,53.58,55.12,51.60,48.77,50.79,57.08,54.44,54.80,54.06,50.27,51.29,52.10,38.72,39.43,39.96,41.63,41.83,42.33,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.57,69.12,81.11,95.62,128.07,109.15,125.18,141.25,203.55,203.90,186.88,204.17,178.68,133.00,145.10,134.31,144.19,154.77,179.77,191.88,198.31,..,..
Cuba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.40,37.15,41.46,46.28,45.57,49.28,55.26,55.79,53.92,54.77,55.91,75.28,78.97,87.22,83.29,94.82,101.23,104.88,108.74,109.92,105.81,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,438.24,451.13,489.95,635.12,748.57,792.22,833.91,952.50,"1,248.41","1,198.35","1,091.16","1,092.02","1,009.30","1,021.74","1,056.61",906.44,952.79,"1,030.66","1,164.07",901.54,482.49,..,..
Czechia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.74,48.77,59.36,80.20,92.53,125.97,136.58,179.93,275.45,246.86,231.81,247.28,228.31,257.96,263.70,228.14,239.50,243.37,271.07,276.42,266.75,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,421.65,431.89,468.95,580.38,690.10,722.21,770.82,890.89,980.82,966.93,970.96,"1,034.23",964.33,984.27,"1,006.02",870.97,889.68,935.97,"1,012.83",987.02,974.94,"1,075.68",..
Djibouti,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.07,16.47,16.49,16.26,15.90,16.32,16.95,17.05,16.02,15.57,15.17,15.81,15.92,15.36,15.90,16.26,17.14,18.17,19.87,20.61,17.68,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.18,98.16,97.45,100.20,106.23,108.62,111.48,129.72,153.40,153.97,147.76,147.10,149.11,140.76,145.08,139.56,139.62,118.82,154.03,154.08,128.54,..,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.76,89.69,93.87,74.10,75.20,112.70,103.93,109.12,119.24,119.49,130.80,133.97,133.85,130.10,128.75,131.67,134.90,132.84,122.88,130.58,118.79,..,..
Ecuador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.04,46.19,65.82,91.24,101.88,116.89,128.01,116.97,138.65,139.60,147.52,176.80,188.03,179.42,165.49,193.83,173.23,179.51,184.99,185.80,197.21,..,..
"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.04,46.29,42.98,34.69,34.28,40.55,42.46,47.05,59.32,64.12,71.36,77.84,101.24,100.63,109.30,118.96,98.97,74.20,85.21,102.82,101.04,..,..
El Salvador,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.55,79.79,80.96,84.49,89.73,116.03,103.88,115.37,122.38,117.04,120.53,132.48,138.15,142.77,135.68,143.23,144.26,152.69,156.06,161.19,155.62,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.75,41.95,56.52,81.83,104.53,118.01,130.83,164.72,296.00,165.82,191.64,201.80,130.67,251.63,288.06,227.56,193.85,194.01,209.76,173.40,180.17,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.40,7.83,6.82,7.25,7.65,7.26,7.75,8.11,6.58,10.45,12.30,12.45,13.88,14.61,16.74,11.31,12.83,8.55,11.75,10.91,10.85,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.74,47.23,59.80,82.85,115.74,133.96,147.85,203.29,242.67,216.33,222.35,239.62,237.91,280.38,325.20,293.36,311.55,357.53,409.90,409.08,409.57,..,..
Eswatini,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.87,32.35,30.35,47.72,62.21,69.58,71.31,74.17,68.03,70.98,87.50,93.53,87.32,78.06,72.75,64.62,58.37,68.13,64.46,60.05,54.02,..,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.26,2.23,2.24,2.27,2.30,2.34,3.63,4.72,5.45,7.21,7.92,8.00,9.85,9.72,12.89,13.29,13.51,9.73,9.69,11.34,10.71,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.48,11.56,12.19,15.78,20.32,20.70,27.25,34.23,32.72,37.97,38.25,49.56,53.45,58.09,61.82,58.27,58.12,58.37,62.29,62.57,52.75,..,..
Finland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,419.00,430.39,477.14,592.86,674.58,718.28,725.83,837.70,949.87,912.15,911.95,982.57,923.48,"1,004.72","1,006.28",884.94,910.75,931.26,969.37,883.15,881.51,..,..
France,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,589.56,597.33,661.39,822.66,946.09,981.42,"1,094.93","1,246.40","1,412.10","1,389.08","1,357.36","1,469.44","1,379.87","1,451.76","1,477.00","1,164.61","1,065.09","1,071.22","1,130.70","1,119.67","1,110.21",..,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.49,70.90,82.36,96.33,105.18,114.34,125.33,148.00,162.48,165.06,73.42,97.02,86.61,93.18,91.70,75.88,72.32,70.04,84.87,81.48,77.37,..,..
"Gambia, The",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.67,6.22,6.05,4.57,4.78,5.43,5.97,7.21,8.67,7.74,7.75,7.51,7.19,6.66,6.21,6.53,6.74,6.72,6.75,7.24,6.86,..,..
Georgia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.19,44.23,52.26,65.54,86.07,108.63,121.65,156.46,205.40,200.93,217.30,250.73,269.02,262.80,258.10,182.17,196.19,183.60,199.13,180.99,185.06,..,..
Germany,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,510.96,512.22,569.43,712.29,834.04,865.55,915.77,"1,038.84","1,154.65","1,138.23","1,121.06","1,238.57","1,170.53","1,202.59","1,219.85","1,065.59","1,077.14","1,135.74","1,252.14","1,251.05","1,278.58",..,..
Ghana,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.80,10.29,12.12,13.55,14.24,17.69,20.75,24.49,27.04,23.90,24.60,38.78,35.37,45.05,38.42,31.09,31.47,35.49,36.73,35.22,34.91,..,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,339.76,369.71,462.18,628.69,737.61,757.96,788.13,889.71,984.64,889.68,796.91,797.82,706.25,692.24,711.16,603.26,731.60,719.55,764.70,801.89,768.49,..,..
