"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.39,18.50,15.14,11.13,21.90,34.33,42.93,59.48,78.86,69.07,76.88,76.77,97.61,99.47,95.49,72.17,69.82,76.09,78.25,73.81,64.85,..,..
Comoros,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.89,36.82,38.94,46.71,51.52,51.66,52.26,57.17,61.48,58.40,55.59,51.85,52.18,55.39,55.21,45.64,45.00,47.58,50.05,48.10,54.68,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.83,4.09,3.10,4.27,5.87,6.16,7.38,7.65,7.90,5.99,4.65,4.77,5.49,6.26,7.27,7.16,7.42,7.52,7.44,7.64,8.44,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.19,9.35,10.50,13.30,15.39,16.17,17.61,20.76,24.14,24.65,23.13,24.59,21.32,22.16,22.29,18.72,24.20,24.02,23.96,24.84,20.36,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.21,80.72,84.78,88.41,93.02,101.44,111.81,130.96,150.80,139.83,166.06,191.35,190.25,189.73,200.90,197.82,193.33,181.47,202.25,204.24,193.35,..,..
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.57,40.22,41.82,46.47,47.37,43.83,40.81,40.97,45.05,43.42,42.12,42.90,39.33,40.17,40.56,26.63,26.57,26.91,27.88,27.44,27.25,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.43,55.88,72.00,85.24,115.00,97.37,108.65,129.03,182.71,163.25,157.21,136.49,118.16,78.59,102.53,87.07,92.28,98.99,116.68,119.24,114.37,..,..
Cuba,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.40,37.15,41.46,46.28,45.57,49.28,55.26,55.79,53.92,54.77,55.91,75.28,78.97,87.22,83.29,94.82,101.23,104.88,108.74,109.92,105.81,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,419.55,431.88,469.92,545.67,641.97,680.72,712.37,826.76,"1,107.80","1,051.13",881.64,874.94,804.80,816.34,845.33,696.34,735.75,793.75,896.42,656.52,314.52,..,..
Czechia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.97,41.35,49.78,66.42,79.89,94.58,109.72,151.33,233.82,217.07,209.54,227.81,212.16,211.19,213.05,190.40,198.56,221.88,248.72,254.09,244.31,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,383.30,393.41,426.51,525.08,623.83,653.49,694.20,796.30,866.52,851.41,845.95,894.77,833.56,845.49,862.64,744.51,760.49,798.89,861.62,835.78,826.02,913.10,..
Djibouti,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.86,16.27,16.29,16.05,15.69,16.09,16.77,16.83,15.77,15.33,14.92,15.19,15.08,14.77,15.06,15.35,16.18,17.15,18.77,19.46,16.70,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.75,95.45,94.76,97.44,103.30,105.62,108.40,126.14,149.17,149.72,143.68,143.04,145.00,136.88,141.08,135.72,135.77,115.55,149.78,149.83,124.99,..,..
